"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC"
"C1,C2","13pF","~","Capacitor_SMD:C_0402_1005Metric","2","","C161528"
"C3,C4,C5,C6,C7,C8,C10","1uF","~","Capacitor_SMD:C_0402_1005Metric","7","","C29266"
"C9","0.1uF","~","Capacitor_SMD:C_0402_1005Metric","1","","C307331"
"D1,D2,D3","SD103AWS_C5345966","https://img.jlc.com/pdf/applyPasteComponent/2021-04-20/390362A/6f25ed4711644192b46323c806fc55eb/1020-007045-BAP70-03.pdf","jlc:SOD-323_L1.7-W1.3-LS2.5-RD","3","","C5345966"
"JP1","U_FL-R-SMT-1(10)","https://item.szlcsc.com/89552.html","jlc:ANT-SMD_UFL-R-SMT-1-10","1","","C88373"
"R1,R4","10K","~","Resistor_SMD:R_0402_1005Metric","2","","C25744"
"R2,R3","5.1K","~","Resistor_SMD:R_0402_1005Metric","2","","C14677"
"R5","100K","~","Resistor_SMD:R_0402_1005Metric","1","","C25741"
"R6","442k","~","Resistor_SMD:R_0402_1005Metric","1","","C3016035"
"U1","ESP32-S3","https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm","1","","C2913194"
"U2","GT-USB-7004N","https://atta.szlcsc.com/upload/public/pdf/source/20210507/C2686968_A2C7AC8037FA641926B2358B7DAFD325.pdf","jlc:USB-C-SMD_GT-USB-7004","1","","C2848971"
"U3","NCP167BMX330TBG","https://item.szlcsc.com/196276.html","jlc:XDFN-4_L1.0-W1.0-P0.65-BL-EP","1","","C892227"
"U4","LY68L6400SLIT","https://item.szlcsc.com/383602.html","jlc:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","1","","C261881"
"U5,U6","PTS830GG140SMTRLFS","https://atta.szlcsc.com/upload/public/pdf/source/20220328/BDDB210D3ABA2FDDFE99547E02ACE199.pdf","jlc:KEY-SMD_4P-L3.1-W2.6_PTS830GG140SMTRLFS","2","","C221902"
"U7","220S-2*16P_H=8_5MM_Ytype_L=3_0MM_PBT","https://item.szlcsc.com/2776437.html?ref=editor&logined=true","jlc:HDR-TH_32P-P2.54-V-F-R2-C16-S2.54","1","","C115248"
"X1","TZ1269D","https://atta.szlcsc.com/upload/public/pdf/source/20210612/25E10314463341ECFDA871AE575B9E16.pdf","jlc:CRYSTAL-SMD_4P-L2.0-W1.6-BL-A","1","","C501798"
