Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5, C6",0402,5,C,
"C3, C7, C8",0402,3,1uF,
C9,0402,1,0.1uF,
"D1, D2, D3",SOD-323_L1.7-W1.3-LS2.5-RD,3,SD103AWS_C5345966,C5345966
JP1,ANT-SMD_UFL-R-SMT-1-10,1,U_FL-R-SMT-1(10),C88373
"R1, R4",0402,2,10K,
"R2, R3",0402,2,5.1K,
R5,0402,1,100K,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,C291392
U2,USB-C-SMD_GT-USB-7004,1,GT-USB-7004N,C2848971
U3,XDFN-4_L1.0-W1.0-P0.65-BL-EP,1,NCP167BMX330TBG,C892227
U4,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,LY68L6400SLIT,C261881
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL-A,1,TZ1269D,C501798
